V_fonte,I_multimetro,V_Ia,V_motor,V_tacografo
0.298,0.02,-0.01092000000000,2.37E-01,0.0005290000
0.602,0.04,-0.00917700000000,4.32E-01,-0.0028980000
0.91,0.07,-0.00848700000000,8.30E-01,0.0002070000
1.229,0.17,-0.00236900000000,1.0939,-0.0030590000
1.55,0.25,-0.00828000000000,1.3877,0.0004830000
1.895,0.36,0.00414000000000,1.6845,-0.0029900000
2.175,0.44,0.00779700000000,1.8156,-0.0035420000
2.558,0.5,0.00526400000000,2.2085,0.0000000000
2.558,0.54,0.00683200000000,2.232,-0.0039760000
2.878,0.56,0.00845600000000,2.5936,-0.0045920000
3.365,0.52,0.00571200000000,3.0113,0.6932200000
3.635,0.54,0.00504000000000,3.21,1.3500000000
3.938,0.55,0.00666000000000,3.59,1.7500000000
4.429,0.57,0.00593600000000,4.239,2.6872000000
4.965,0.57,0.01165000000000,4.678,3.4605000000
5.437,0.57,0.00033000000000,5.1893,3.9961000000
5.829,0.57,0.00308000000000,5.5642,4.6730000000
6.3,0.58,0.00110000000000,6.03,5.3000000000
6.79,0.59,0.00022000000000,6.579,5.7819000000
7.36,0.6,0.00099000000000,7.07,6.6300000000
7.87,0.6,0.00088000000000,7.66,7.5500000000
8.15,0.61,-0.00897000000000,7.8246,7.9651000000
8.69,0.62,-0.01817000000000,8.151,9.0077000000
9.14,0.63,-0.01610000000000,8.823,9.1998000000
9.65,0.63,-0.01219000000000,9.321,10.3620000000
10.1,0.64,-0.01242000000000,9.89,11.0920000000
10.96,0.65,-0.00621000000000,10.665,11.5170000000
11.65,0.65,-0.04386000000000,11.315,12.8160000000
12.19,0.66,-0.04454000000000,11.805,14.1270000000
13.15,0.68,-0.04658000000000,12.833,15.3930000000
14.2,0.69,-0.03910000000000,13.858,12.5820000000
15.05,0.7,-0.04488000000000,14.751,17.1600000000
16.13,0.71,-0.07448000000000,15.751,19.2180000000
17.06,0.72,0.01506900000000,16.584,20.9240000000
17.65,0.72,0.01472800000000,17.722,21.0660000000
18.35,0.73,0.01517600000000,17.802,22.8000000000
19.15,0.74,0.01428000000000,18.742,22.0600000000
20.25,0.75,0.01327000000000,19.881,24.9010000000
